id,review_num,review_rate
1,29,1.1710524614170508
2,8,4.512538458045135
3,12,4.3109333958167575
4,17,1.4107500833950843
5,37,3.2643690722344636
6,3,4.899745354090674
7,7,2.2567193526236315
8,1,2.3494665816456015
9,1,4.490341781655266
10,5,1.7425550884590297
11,10,2.3152510558727544
12,18,3.3938070283869584
13,8,2.908601556747836
14,11,1.3441997366909
15,17,2.1903911129101283
16,3,4.025506452361332
17,15,3.196405688171569
18,13,3.705520986073381
19,12,3.6526210974871907
20,16,2.9581352092264024
21,7,2.3026478624801516
22,7,2.4076445264304605
23,4,1.8934311968970565
24,11,2.306231496291563
25,14,4.739080223773824
26,4,1.2893733325208538
27,31,4.060110800245294
28,4,1.6205834218881288
29,5,3.454518579310044
30,7,4.265361191883021
31,11,3.3915099427749826
32,38,1.3093843045599476
33,2,4.392598142747232
34,5,3.4457557227488773
35,4,4.017024343471444
36,6,1.0900093218904772
37,11,2.0241505241501927
38,3,3.4553147774674726
39,30,2.7996355305985143
40,9,3.8767148913692258
41,11,3.8508085354282158
42,4,3.70677204233644
43,11,4.888299317247387
44,3,2.356693330954879
45,43,2.9385406161662164
46,4,2.986616635065607
47,7,1.0220661631267154
48,14,1.2158590912147438
49,6,2.1397656476190514
50,24,1.6117228134798882
51,36,2.3719124092060633
52,4,3.7819161107870403
53,9,3.861582695296235
54,4,2.74954599609602
55,4,1.0321512212635024
56,12,4.856710222362381
57,11,2.4268031490195434
58,3,3.180968921201709
59,1,3.4326556257932506
60,13,1.4852903207466865
61,9,1.6396868572583974
62,24,1.0685218024831626
63,9,1.6948335675904325
64,15,3.713054839436138
65,9,1.8901712995439959
66,3,3.1176151883359378
67,4,2.763557217855725
68,11,3.752769987330541
69,4,4.731347663124504
70,67,1.0667109698341584
71,5,3.82776936057295
72,3,2.9127167111528935
73,8,2.8477821088981368
74,8,4.12439480607197
75,10,3.3017366512303963
76,4,1.3384025246199878
77,2,3.7131211885541013
78,11,4.88766175267263
79,6,4.352679628394407
80,14,4.170081224273867
81,6,3.3060577413842296
82,4,4.1612973793476105
83,3,1.936691304655994
84,15,1.7190471705134631
85,8,4.038796991268
86,4,2.5116852889170445
87,9,2.4489739787709546
88,25,2.7568337418358357
89,15,3.085222803328424
90,21,3.575695850614837
91,5,3.9137400953263697
92,15,2.3613212571267685
93,3,4.903262026088045
94,111,2.8467977665769837
95,11,3.728870078275063
96,14,2.3123527314189065
97,9,2.0787016383785226
98,3,2.9042027057359894
99,23,2.6843418885177113
100,11,2.7937768696764964
101,4,3.38258561379286
102,3,4.63918457284656
103,12,4.693846334750299
104,1,1.2168485367905002
105,16,3.6134961708155617
106,2,2.2803409818073987
107,5,3.14848914154587
108,4,4.419345211537126
109,5,2.8899767696617484
110,13,1.962022377132831
111,7,4.540376124717455
112,4,2.3160722741556508
113,5,3.2320326451312673
114,28,2.8553287561331286
115,3,1.5208235496647755
116,9,3.446294480511141
117,23,1.24207491901497
118,23,1.2410862860675755
119,11,4.498641642308218
120,5,2.9690627710964645
121,21,1.8747521056464724
122,7,3.743122207127064
123,9,4.511826061451966
124,9,3.001587348417833
125,6,4.48168937293816
126,44,4.373099824747799
127,18,4.4679572010293995
128,10,3.302824075679574
129,3,2.340198973146627
130,29,1.8443730870168538
131,2,2.9446909648914756
132,12,3.8833602388406567
133,24,2.32505169891106
134,40,2.415452422598265
135,5,4.3496099752050155
136,5,2.4915756560674645
137,2,1.5389345593454573
138,5,2.59224000601267
139,10,1.7476425507213533
140,13,2.335432362756232
141,21,1.4213231817095928
142,7,4.014072986897541
143,2,1.6082499008053688
144,4,1.7218733900309977
145,14,4.263962879284746
146,8,3.6280185602942954
147,12,2.13806886306893
148,6,4.228303373203376
149,14,3.847961491460077
150,28,2.3400187199476528
151,6,4.937528780671596
152,5,1.9050843354453675
153,8,3.9091983886802737
154,8,4.977846064463052
155,18,3.254659881984507
156,3,3.768197690136132
157,5,1.250249276321406
158,28,1.831461354767928
159,35,3.790759376970857
160,19,4.867594919265342
161,9,1.4106009034640334
162,2,2.640589556266744
163,12,2.735697310041062
164,10,2.804870100123423
165,14,1.0659689455773704
166,12,3.018413341222407
167,42,4.123654593169229
168,7,3.679358717333273
169,16,4.21874669967561
170,14,4.197506273873678
171,40,2.643885276593543
172,8,1.7650788341926162
173,5,4.1388289532161835
174,12,3.862417619804725
175,17,4.56180635428462
176,10,4.824882762471831
177,5,3.0439227696931197
178,12,3.2264029277952346
179,9,2.9265175640403656
180,9,3.4971639896899025
181,4,3.5793299593872088
182,3,3.1467908811864596
183,14,3.2046107801716657
184,3,4.571117380403846
185,6,4.833443728047632
186,3,3.3188947512122478
187,7,4.356096115328059
188,15,4.1706753796668465
189,6,1.9635839869711886
190,1,1.7311096900383682
191,14,2.1715028849367792
192,5,4.223268940163826
193,29,1.2246047306632506
194,3,2.3882599769654065
195,29,2.887369637959115
196,4,4.222528672875798
197,3,2.737241373561905
198,16,2.229572352769205
199,22,1.7979786822287553
200,5,4.8638850493522945
